Comp. - Año / Mes Contab. (AAAA/MM),Comp. - F. Contab.,Comp. - F. Emisión,Comp. - Pto. Vta. - Cód.,Comp. - Nro.,Cliente - País - Cód.,Ítem - Artículo - Cód. Gen.,Ítem - Artículo - Elem. 1 - Cód.,Ítem - Concepto - Cód.,Ítem - Cant. UM 1,Ítem - U. M. 1,Ítem - Cant. UM 2,Ítem - U. M. 2,Artículo - Factor Conv.,Varietal,Ítem - Impte. Fact. Loc.,Ítem - Impte. Neto mon. Local,Ítem - Impte.Total mon Emisión,Comp. - Cotiz. mon. CC,Comp. - Mon. Emisión - Cód.,Moneda de facturación,Artículo - Ord. 1,Artículo - Ord. 2,Artículo - Clase - Cód.,Cliente - Vendedor - Cód.
2023/07,01/07/2023,01/07/2023,0006,00000588,SUI,16029 ,2016,,60.00000,Unidad,10.00000,Cajas,6.00000,Cabernet Franc,461700.00,461700.00,1710.00,270.0000,2,Dólar,Producto Terminado,Vinos Tintos Varietales,PT,0001
2023/07,01/07/2023,01/07/2023,0006,00000588,SUI,16042 ,2019,,60.00000,Unidad,10.00000,Cajas,6.00000,Malbec,615600.00,615600.00,2280.00,270.0000,2,Dólar,Producto Terminado,Vinos Tintos Varietales,PT,0001
2023/07,01/07/2023,01/07/2023,0006,00000588,SUI,16013 ,2022,,420.00000,Unidad,70.00000,Cajas,6.00000,Malbec,756000.00,756000.00,2800.00,270.0000,2,Dólar,Producto Terminado,Vinos Tintos Varietales,PT,0001
2023/07,01/07/2023,01/07/2023,0006,00000588,SUI,16025 ,2022,,60.00000,Unidad,10.00000,Cajas,6.00000,Pinot Noir,615600.00,615600.00,2280.00,270.0000,2,Dólar,Producto Terminado,Vinos Tintos Varietales,PT,0001
2023/07,01/07/2023,01/07/2023,0006,00000588,SUI,16018 ,2021,,240.00000,Unidad,40.00000,Cajas,6.00000,Blend,896400.00,896400.00,3320.00,270.0000,2,Dólar,Producto Terminado,Vinos Tintos Varietales,PT,0001
2023/07,01/07/2023,01/07/2023,0006,00000588,SUI,16017 ,2022,,420.00000,Unidad,70.00000,Cajas,6.00000,Cabernet Franc,756000.00,756000.00,2800.00,270.0000,2,Dólar,Producto Terminado,Vinos Tintos Varietales,PT,0001
2023/07,01/07/2023,01/07/2023,0010,00001014,ARG,13011 ,2021,,6.00000,Unidad,1.00000,Cajas,6.00000,Pinot Noir,8640.00,7140.50,8640.00,1.0000,1,Pesos,Producto Terminado,Vinos Tintos Varietales,PT,0002
2023/07,01/07/2023,01/07/2023,0010,00001014,ARG,13013 ,2021,,12.00000,Unidad,2.00000,Cajas,6.00000,Malbec,27360.00,22611.57,27360.00,1.0000,1,Pesos,Producto Terminado,Vinos Tintos Varietales,PT,0002
2023/07,01/07/2023,01/07/2023,0010,00001014,ARG,13017 ,2021,,6.00000,Unidad,1.00000,Cajas,6.00000,Cabernet Franc,13680.00,11305.78,13680.00,1.0000,1,Pesos,Producto Terminado,Vinos Tintos Varietales,PT,0002
2023/07,01/07/2023,01/07/2023,0010,00001014,ARG,13010 ,2019,,6.00000,Unidad,1.00000,Cajas,6.00000,Cabernet Sauvignon,8640.00,7140.49,8640.00,1.0000,1,Pesos,Producto Terminado,Vinos Tintos Varietales,PT,0002
2023/07,01/07/2023,01/07/2023,0010,00001014,ARG,13006 ,2020,,18.00000,Unidad,3.00000,Cajas,6.00000,Malbec,25920.00,21421.49,25920.00,1.0000,1,Pesos,Producto Terminado,Vinos Tintos Varietales,PT,0002
