Time Period,Activities,Total Distance,Average Distance,Max Distance,Total Activity Time,Activity Calories,Total Ascent,Avg Ascent,Max Ascent,Total Descent,Avg Descent,Max Descent,Average Pace,Avg Grade-Adjusted Pace,label_max_pace,Average Heart Rate,Max Heart Rate,Average Run Cadence,Max Run Cadence,Vertical Oscillation,Ground Contact Time,Average Stride Length
12/25/2022,6,44.96 mi,7.49 mi,12.01 mi,6:33:55 h:m:s,"3,963","2,464 ft",411 ft,670 ft,"2,466 ft",411 ft,682 ft,8:46 /mi,--,6:52 /mi,147 bpm,170 bpm,177 spm,201 spm,--,--,1.03 m
12/18/2022,5,42.63 mi,8.53 mi,10.26 mi,6:08:33 h:m:s,"3,801","2,146 ft",429 ft,625 ft,"2,140 ft",428 ft,625 ft,8:39 /mi,--,6:54 /mi,150 bpm,178 bpm,179 spm,199 spm,--,--,1.04 m
12/11/2022,7,50.16 mi,7.17 mi,11.01 mi,7:32:37 h:m:s,"4,304","2,484 ft",355 ft,632 ft,"2,375 ft",339 ft,620 ft,9:01 /mi,--,6:46 /mi,146 bpm,173 bpm,175 spm,207 spm,--,--,1.02 m
12/04/2022,7,51.91 mi,7.42 mi,11.01 mi,7:55:43 h:m:s,"4,756","2,808 ft",401 ft,679 ft,"2,795 ft",399 ft,675 ft,9:10 /mi,--,1:36 /mi,149 bpm,184 bpm,172 spm,195 spm,--,--,1.01 m
11/27/2022,7,44.49 mi,6.36 mi,9.01 mi,6:15:05 h:m:s,"3,879","2,299 ft",383 ft,634 ft,"2,244 ft",374 ft,616 ft,8:26 /mi,--,6:53 /mi,149 bpm,180 bpm,175 spm,199 spm,--,--,1.03 m
11/20/2022,6,40.96 mi,6.83 mi,10.01 mi,6:11:09 h:m:s,"3,662","2,169 ft",362 ft,596 ft,"2,121 ft",354 ft,579 ft,9:04 /mi,--,7:47 /mi,145 bpm,173 bpm,175 spm,193 spm,--,--,1.01 m
11/13/2022,7,33.70 mi,4.81 mi,7.51 mi,5:01:07 h:m:s,"3,031","1,006 ft",144 ft,313 ft,992 ft,142 ft,294 ft,8:56 /mi,--,7:00 /mi,147 bpm,179 bpm,175 spm,193 spm,--,--,1.00 m
11/06/2022,6,47.03 mi,7.84 mi,11.50 mi,7:12:43 h:m:s,"4,155","2,433 ft",406 ft,542 ft,"2,379 ft",396 ft,530 ft,9:12 /mi,--,7:27 /mi,147 bpm,174 bpm,171 spm,191 spm,--,--,1.01 m
10/30/2022,7,43.35 mi,6.19 mi,9.01 mi,6:28:09 h:m:s,"4,033","2,011 ft",287 ft,535 ft,"2,048 ft",293 ft,559 ft,8:57 /mi,--,7:02 /mi,153 bpm,176 bpm,175 spm,197 spm,--,--,1.02 m
10/23/2022,6,45.40 mi,7.57 mi,8.15 mi,6:36:21 h:m:s,"4,115","1,930 ft",322 ft,368 ft,"1,912 ft",319 ft,367 ft,8:44 /mi,--,6:16 /mi,149 bpm,177 bpm,178 spm,203 spm,--,--,1.04 m
10/16/2022,6,45.29 mi,7.55 mi,11.01 mi,6:44:41 h:m:s,"4,070","2,215 ft",369 ft,656 ft,"2,199 ft",366 ft,652 ft,8:56 /mi,--,6:22 /mi,149 bpm,178 bpm,175 spm,225 spm,--,--,1.02 m
10/09/2022,7,53.53 mi,7.65 mi,9.01 mi,8:03:10 h:m:s,"4,896","2,441 ft",349 ft,570 ft,"2,452 ft",350 ft,555 ft,9:02 /mi,--,6:27 /mi,152 bpm,176 bpm,175 spm,201 spm,--,--,1.02 m
10/02/2022,6,50.55 mi,8.43 mi,11.01 mi,7:12:27 h:m:s,"4,552","1,267 ft",211 ft,650 ft,"1,302 ft",217 ft,632 ft,8:33 /mi,--,6:21 /mi,151 bpm,177 bpm,176 spm,201 spm,--,--,1.07 m
09/25/2022,5,35.90 mi,7.18 mi,7.54 mi,5:20:23 h:m:s,"3,253","1,615 ft",323 ft,403 ft,"1,593 ft",319 ft,380 ft,8:55 /mi,--,6:28 /mi,151 bpm,185 bpm,174 spm,201 spm,--,--,1.04 m
09/18/2022,6,46.79 mi,7.80 mi,11.13 mi,6:57:29 h:m:s,"4,365","2,978 ft",496 ft,817 ft,"2,953 ft",492 ft,827 ft,8:55 /mi,--,6:14 /mi,150 bpm,178 bpm,173 spm,205 spm,--,--,1.03 m
09/11/2022,6,46.06 mi,7.68 mi,10.63 mi,6:51:27 h:m:s,"4,056","1,997 ft",333 ft,521 ft,"1,982 ft",330 ft,524 ft,8:56 /mi,--,6:21 /mi,143 bpm,177 bpm,173 spm,201 spm,--,--,1.03 m
09/04/2022,7,48.14 mi,6.88 mi,10.00 mi,7:07:56 h:m:s,"4,418","2,435 ft",406 ft,544 ft,"2,467 ft",411 ft,540 ft,8:53 /mi,--,6:16 /mi,139 bpm,178 bpm,148 spm,203 spm,--,--,1.05 m
