
City/Town	Country/Territory	Continent	Notes
Abidjan (former capital; still hosts some government offices)	 Ivory Coast (Côte d'Ivoire)	Africa	Abidjan is the largest city in Ivory Coast and is officially designated as the economic capital.
Yamoussoukro (de jure)
Abu Dhabi	 United Arab Emirates	Asia	
Abuja	 Nigeria	Africa	Lagos was the capital from 1914 to 1991.
Accra	 Ghana	Africa	
Adamstown	 Pitcairn Islands		British Overseas Territory.
Addis Ababa	 Ethiopia	Africa	
Aden (de facto, temporary)	 Yemen	Asia	Due to the Yemeni civil war (2014–present), Sanaa has been occupied by Houthi rebels since September 2014. Aden, the former capital of South Yemen, is Yemen's acting capital.
Sanaa (de jure)
Algiers	 Algeria	Africa	
Alofi	 Niue	Oceania	Self-governing in free association with New Zealand. Government offices are spread across both Alofi North and Alofi South.
Amman	 Jordan	Asia	
Amsterdam (official)	 Netherlands	Europe	The Dutch government is located in The Hague, which also hosts the monarch, government ministries, judiciary and diplomatic missions. See also: Capital of the Netherlands.
The Hague (de facto)
Andorra la Vella	 Andorra	Europe	
Ankara	 Turkey	Asia	Ankara became the capital of the newly-formed Republic of Turkey in 1923, after the Turkish War of Independence. Istanbul was the capital of Turkey's predecessor, the Ottoman Empire.
Antananarivo	 Madagascar	Africa	
Apia	 Samoa	Oceania	
Ashgabat	 Turkmenistan	Asia	
Asmara	 Eritrea	Africa	
Astana	 Kazakhstan	Asia	Astana was named Nur-Sultan from 2019 to 2022. Almaty was the capital from 1929 to 1997.
Asunción	 Paraguay	South America	
Athens	 Greece	Europe	
Avarua	 Cook Islands	Oceania	Self-governing in free association with New Zealand. The capital is sometimes incorrectly stated as Rarotonga, the island on which Avarua is located.
Baghdad	 Iraq	Asia	
Baku	 Azerbaijan	Asia	
Bamako	 Mali	Africa	
Bandar Seri Begawan	 Brunei	Asia	
Bangkok	 Thailand	Asia	
Bangui	 Central African Republic	Africa	
Banjul	 Gambia	Africa	
Basseterre	 Saint Kitts and Nevis	North America	
Beijing	 China	Asia	See also: Historical capitals of China.
Beirut	 Lebanon	Asia	
Belgrade	 Serbia	Europe	
Belmopan	 Belize	North America	Belize City was the capital of Belize's predecessor, British Honduras.
Berlin	 Germany	Europe	Bonn was the capital of West Germany and remained the seat of government for reunified Germany until 1999, and is still the primary seat of six ministries. See also: Capital of Germany.
Bern (de facto)	 Switzerland	Europe	
Bishkek	 Kyrgyzstan	Asia	
Bissau	 Guinea-Bissau	Africa	
Bloemfontein (judicial)	 South Africa	Africa	
Cape Town (legislative)	
Pretoria (executive)	
Bogotá	 Colombia	South America	
Brades (de facto)	 Montserrat	North America	British Overseas Territory. Plymouth was abandoned after the eruption of the Soufrière Hills volcano in 1997. Government offices since then have been moved to Brades, which is in the northwestern part of Montserrat. A new capital, Little Bay, is currently under construction.
Plymouth (de jure)
Brasília	 Brazil	South America	Rio de Janeiro was the capital until 1960. See also: Capitals of Brazil.
